SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
VICEROY, EQ, 01-Jan-2018, 17.80, 17.95, 18.40, 17.80, 18.00, 17.95, 18.09, 384032, 69.49, 832, 207367, 54.00
VIDEOIND, EQ, 01-Jan-2018, 19.70, 19.95, 20.65, 19.90, 20.65, 20.55, 20.47, 4049354, 828.98, 6557, 2598820, 64.18
VIDHIING, EQ, 01-Jan-2018, 104.10, 104.50, 107.00, 104.10, 104.80, 104.50, 105.69, 122505, 129.47, 1285, 61931, 50.55
VIJAYABANK, EQ, 01-Jan-2018, 68.35, 68.40, 69.75, 68.40, 69.00, 69.05, 68.99, 2851576, 1967.21, 6592, 1944801, 68.20
VIJIFIN, BE, 01-Jan-2018, 8.60, 8.60, 9.00, 8.20, 9.00, 9.00, 8.67, 388719, 33.70, 211, -, -
VIJSHAN, EQ, 01-Jan-2018, 31.65, 32.20, 32.20, 30.30, 30.70, 30.55, 31.07, 195908, 60.87, 855, 146512, 74.79
VIKASECO, EQ, 01-Jan-2018, 35.80, 36.10, 37.45, 35.80, 36.60, 36.60, 36.81, 5396565, 1986.25, 8867, 2708676, 50.19
VIMTALABS, EQ, 01-Jan-2018, 168.00, 169.15, 173.80, 166.60, 167.05, 167.75, 170.25, 72786, 123.92, 1150, 35698, 49.05
VINATIORGA, EQ, 01-Jan-2018, 997.90, 1010.40, 1012.80, 985.65, 987.00, 991.15, 994.51, 9669, 96.16, 1053, 5042, 52.15
VINDHYATEL, EQ, 01-Jan-2018, 1289.90, 1296.90, 1300.00, 1265.05, 1290.00, 1289.70, 1282.73, 7397, 94.88, 527, 5805, 78.48
VINYLINDIA, EQ, 01-Jan-2018, 109.75, 110.65, 112.40, 108.00, 110.50, 109.50, 110.46, 108439, 119.78, 1498, 55409, 51.10
VIPCLOTHNG, EQ, 01-Jan-2018, 78.90, 78.45, 81.95, 77.05, 78.30, 79.00, 80.36, 1642662, 1320.10, 8726, 593645, 36.14
VIPIND, EQ, 01-Jan-2018, 351.35, 351.50, 357.00, 350.00, 350.45, 351.25, 353.43, 165930, 586.45, 2885, 59916, 36.11
VIPULLTD, EQ, 01-Jan-2018, 75.85, 75.15, 77.45, 74.15, 75.10, 75.70, 76.56, 17620, 13.49, 255, 12826, 72.79
VISAKAIND, EQ, 01-Jan-2018, 654.00, 655.00, 671.00, 649.00, 653.15, 654.20, 663.59, 84246, 559.05, 3393, 41823, 49.64
VISASTEEL, BE, 01-Jan-2018, 19.90, 20.45, 20.85, 19.55, 20.70, 20.45, 20.50, 75308, 15.44, 187, -, -
VISESHINFO, BE, 01-Jan-2018, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 698600, 0.35, 64, -, -
VISHNU, BE, 01-Jan-2018, 392.80, 380.25, 400.00, 380.25, 387.00, 391.70, 396.57, 9444, 37.45, 106, -, -
VIVIDHA, EQ, 01-Jan-2018, 1.50, 1.55, 1.55, 1.55, 1.55, 1.55, 1.55, 286780, 4.45, 64, 286780, 100.00
VIVIMEDLAB, EQ, 01-Jan-2018, 104.05, 104.30, 109.25, 104.00, 106.05, 105.90, 106.87, 1108801, 1184.93, 7886, 450788, 40.66
VLSFINANCE, EQ, 01-Jan-2018, 95.65, 95.65, 98.85, 94.30, 95.30, 95.55, 96.66, 202774, 196.01, 1684, 81625, 40.25
